Key,English,Japanese
TRANS_GEN_Mable_00_0,"""I have a craving for lemon-curd macarons!""","""レモンカードマカロンが食べたい！"""
TRANS_GEN_Mable_01_0,"""Cookies and cream is a strange combination.""","""クッキーとクリームって不思議な組み合わせですね。"""
TRANS_GEN_Mable_02_0,"""A slice of strawberry shortcake... Or brownies...""","""イチゴのショートケーキのスライス...またはブラウニー..."""
TRANS_GEN_Mable_03_0,"""There's nothing like biting into a freshly-made tart.""","""作りたてのタルトをかじるのは最高です。"""
TRANS_GEN_Mable_04_0,"""A chocolate glazed donut sounds pretty good right now.""","""チョコレートをまぶしたドーナツは、今のところとても美味しそうです。"""
TRANS_GEN_Cecily_00_0,"""Why don't more people read books for fun?"" ","""なぜもっと多くの人が楽しみのために本を読まないのでしょうか？"" "
TRANS_GEN_Cecily_01_0,"""Classic literature is such a bore.""","""古典文学なんて退屈だよ。"""
TRANS_GEN_Cecily_02_0,"""Writing workshops are making a comeback.""","""ライティングワークショップが復活しつつある。"""
TRANS_GEN_Cecily_03_0,"""I am not too young to joing the book club!""","""私は読書クラブに参加するには若すぎません！"""
TRANS_GEN_Cecily_04_0,"""I'd marry an established writer in their mid-to-late thirties...""","""30代半ばから後半の著名な作家と結婚したいのですが…"""
TRANS_GEN_Azuki_00_0,"""I hope someday we all find where we're going.""","""いつか私たち全員が目的地を見つけられることを願っています。"""
TRANS_GEN_Azuki_01_0,"""There are so many lost people in this world...""","""この世には迷った人がたくさんいるんだ…"""
TRANS_GEN_Azuki_02_0,"""Have you donated to the food drive yet?""","""もうフードドライブに寄付しましたか？"""
TRANS_GEN_Azuki_03_0,"""Peace... love... flowers... happiness...""","""平和…愛…花…幸福…"""
TRANS_GEN_Azuki_04_0,"""Love conquers all!""","""愛はすべてを征服する！"""
TRANS_GEN_Hideji_00_0,"""Woodwork is not for the faint at heart.""","""木工品は気の弱い人には向きません。"""
TRANS_GEN_Hideji_01_0,"""A sharp knife is essential for any amaetuer woodworker.""","""鋭いナイフはアマチュアの木工にとって不可欠です。"""
TRANS_GEN_Hideji_02_0,"""Listen closely and you can hear the wood breathe.""","""耳を澄ますと木の呼吸が聞こえます。"""
TRANS_GEN_Hideji_03_0,"""I prefer mahogany over birch.""","""私は白樺よりもマホガニーの方が好きです。"""
TRANS_GEN_Hideji_04_0,"""Resin gives off a putrid odor when incorrectly applied.""","""樹脂は塗り方を間違えると腐敗臭を発します。"""
TRANS_GEN_Akio_00_0,"""Aren't trains amazing?""","""電車ってすごいですよね？"""
TRANS_GEN_Akio_01_0,"""If you're late, you're late.""","""遅刻したら遅刻だよ。"""
TRANS_GEN_Akio_02_0,"""A train can take you anywhere you want to go.""","""電車に乗ればどこへでも行けるよ。"""
TRANS_GEN_Akio_03_0,"""Collecting model trains isn't just a hobby!""","""鉄道模型集めは単なる趣味じゃない！"""
TRANS_GEN_Akio_04_0,"""I'm only missing one piece from my train collection.""","""私の鉄道コレクションに 1 つだけ欠けています。"""
TRANS_GEN_Harold_00_0,"""Nothing like a steaming bowl of ramen after a hard day.""","""忙しい一日を過ごした後の熱々のラーメンほど最高なものはありません。"""
TRANS_GEN_Harold_01_0,"""Salt or miso... neither is particularly appetizing.""","""塩か味噌か…どちらもあまり美味しくないですね"""
TRANS_GEN_Harold_02_0,"""How do they make ramen so addictive?""","""どうしてラーメンはこんなに中毒性のあるものになるのでしょうか？"""
TRANS_GEN_Harold_03_0,"""Hard not to drool with ramen on the mind.""","""ラーメンのことを考えるとよだれを垂らさないのが大変です。"""
TRANS_GEN_Harold_04_0,"""No pickles in my ramen!""","""うちのラーメンには漬物は入ってないよ！"""
TRANS_GEN_Stella_00_0,"""Drawing with pastels is such a relaxing pastime.""","""パステルで絵を描くのはとてもリラックスできる娯楽です。"""
TRANS_GEN_Stella_01_0,"""It's difficult to make a bold statement with watercolor.""","""水彩で大胆な表現をするのは難しいです。"""
TRANS_GEN_Stella_02_0,"""I don't have a favorite color, they are all so pretty!""","""好きな色はないのですが、どれもとても可愛いです！"""
TRANS_GEN_Stella_03_0,"""Painting with pink can be risky.""","""ピンクでペイントするのは危険です。"""
TRANS_GEN_Stella_04_0,"""Landscapes are harder to paint than people.""","""風景は人物よりも描くのが難しい。"""
TRANS_GEN_Rika_00_0,"""Geneology is such a underappreciated field.""","""系統学はあまりにも過小評価されている分野です。"""
TRANS_GEN_Rika_01_0,"""Advances in technology increase convenience, but at what cost?""","""テクノロジーの進歩により利便性は高まりますが、それにはどのような代償がかかるのでしょうか?"""
TRANS_GEN_Rika_02_0,"""There is no better time to start a family tree than now!""","""家系図を作成するのに今ほど良い時期はありません。"""
TRANS_GEN_Rika_03_0,"""There is always a surprise in store...""","""いつもサプライズが待っています..."""
TRANS_GEN_Rika_04_0,"""Is it better to be ignorant of your ancestry?""","""自分の先祖については知らないほうが良いでしょうか？"""
TRANS_GEN_Ethel_00_0,"""There are a lot of fish in the sea...""","""海には魚がたくさんいるよ…"""
TRANS_GEN_Ethel_01_0,"""Salmon, or trout, or tuna...""","""サケとかマスとかマグロとか…"""
TRANS_GEN_Ethel_02_0,"""Sashimi should be on charcuterie boards.""","""刺身はシャルキュトリーボードに載せるべきです。"""
TRANS_GEN_Ethel_03_0,"""I like my fish sliced and diced!""","""私は魚をスライスして角切りにするのが好きです！"""
TRANS_GEN_Ethel_04_0,"""Eels are not fish.""","""ウナギは魚ではありません。"""
TRANS_GEN_Orton_00_0,"""It's hard to learn a language.""","""言語を学ぶのは難しい。"""
TRANS_GEN_Orton_01_0,"""Practice and diligence, it's the only way!""","""練習と勤勉、それが唯一の方法です！"""
TRANS_GEN_Orton_02_0,"""Pronunciation is key to being a better communicator.""","""発音はより良いコミュニケーションをとるための鍵です。"""
TRANS_GEN_Orton_03_0,"""Speech therapy can help in some cases...""","""場合によっては言語療法が役立つこともあります..."""
TRANS_GEN_Orton_04_0,"""I've always wanted to learn how to speak whale.""","""私はいつもクジラの話し方を学びたいと思っていました。"""
TRANS_GEN_Frank_00_0,"""Film is not the same thing as cinema.""","""映画は映画と同じではありません。"""
TRANS_GEN_Frank_01_0,"""Try looking through a database of foreign film.""","""外国映画のデータベースを調べてみてください。"""
TRANS_GEN_Frank_02_0,"""Someday you'll see me on that silver screen!""","""いつかあの銀幕で私に会えるでしょう！"""
TRANS_GEN_Frank_03_0,"""Caramel corn is disgusting.""","""キャラメルコーンはまずいよ。"""
TRANS_GEN_Frank_04_0,"""Then this village will look up to me...""","""そうすれば、この村も私を尊敬してくれるでしょう…"""
TRANS_GEN_Othello_00_0,"""I enjoy gardening herbs and vegetables.""","""ハーブや野菜のガーデニングが好きです。"""
TRANS_GEN_Othello_01_0,"""Chrysanthemum seeds sprout later than you'd expect.""","""菊の種は思ったより発芽するのが遅い。"""
TRANS_GEN_Othello_02_0,"""You have to be diligent in weeding your garden.""","""庭の草むしりを熱心にしなければなりません。"""
TRANS_GEN_Othello_03_0,"""Pionies or daisies... I can't decide!""","""ピオニーかヒナギクか…決められない！"""
TRANS_GEN_Othello_04_0,"""Wild hogs can root up your garden if you're not careful.""","""注意しないと、野生の豚が庭に根を張る可能性があります。"""
TRANS_GEN_Samira_00_0,"""Running track is fun until you're face-deep in the turf.""","""ランニングトラックは、顔が芝生に深く沈むまでは楽しいものです。"""
TRANS_GEN_Samira_01_0,"""I think people who do track and field are beautiful people.""","""陸上競技をやっている人は美しい人だと思います。"""
TRANS_GEN_Samira_02_0,"""You can always go that extra mile.""","""いつでもさらに一歩前進することができます。"""
TRANS_GEN_Samira_03_0,"""Sprint for the hills like the devil's chasing you.""","""悪魔があなたを追いかけるように、丘に向かって全力疾走してください。"""
TRANS_GEN_Samira_04_0,"""You should stretch once a day.""","""1日1回はストレッチをしたほうがいいよ。"""
TRANS_GEN_Miranda_00_0,"""Sea air smells like soy sauce.""","""いつか醤油の匂いがする海辺に引っ越すつもりです。"""
TRANS_GEN_Miranda_01_0,"""Nothing like the feel of sand against your toes.""","""つま先に砂が当たる感触ほど素晴らしいものはありません。"""
TRANS_GEN_Miranda_02_0,"""Seawater is an essential liquid.""","""海水は欠かせない液体です。"""
TRANS_GEN_Miranda_03_0,"""The beach is so relaxing...""","""ビーチはとてもリラックスできます..."""
TRANS_GEN_Miranda_04_0,"""Saltwater could be the innovation in de-aging technology...""","""塩水は老化防止技術の革新となる可能性があります..."""
TRANS_GEN_Tomiko_00_0,"""I love when the birds come to watch me work!""","""鳥が私の仕事を見に来るのが大好きです！"""
TRANS_GEN_Tomiko_01_0,"""If a cardinal smells you once, you are forever blessed.""","""枢機卿があなたの匂いを一度嗅いだら、あなたは永遠に祝福されます。"""
TRANS_GEN_Tomiko_02_0,"""Woodpeckers are such noisy birds.""","""キツツキはとてもうるさい鳥です。"""
TRANS_GEN_Tomiko_03_0,"""Birds are just fluffy spheres filled with song.""","""鳥は歌が詰まったふわふわした球体にすぎません。"""
TRANS_GEN_Tomiko_04_0,"""Imagine flying in formation five hundred feet up in the air...""","""500フィート上空を編隊を組んで飛行するところを想像してみてください..."""
TRANS_GEN_Domingo_00_0,"""Skateboarding comes naturally.""","""スケートボードは自然に身につくものです。"""
TRANS_GEN_Domingo_01_0,"""I can go far on a pair of wheels.""","""一対の車輪で遠くまで行くことができます。"""
TRANS_GEN_Domingo_02_0,"""Wear a helmet if you don't want a concussion.""","""脳震盪を起こしたくないならヘルメットをかぶってください。"""
TRANS_GEN_Domingo_03_0,"""This village could use a skatepark.""","""この村にはスケートパークが使えるかもしれない。"""
TRANS_GEN_Domingo_04_0,"""I can do all the skateboard tricks, just watch!""","""スケートボードのトリックは全部できるから、見てください！"""
TRANS_GEN_Takumi_00_0,"""I wish my body secreted mucus...""","""体から粘液が分泌されればいいのに…"""
TRANS_GEN_Takumi_01_0,"""Snails and slugs... friendly bugs...""","""カタツムリとナメクジ…人懐っこい虫…"""
TRANS_GEN_Takumi_02_0,"""I want to sell slime for a living.""","""スライムを売って暮らしたい。"""
TRANS_GEN_Takumi_03_0,"""I've got a tank of slugs, want to see? ""","""ナメクジの水槽があるんだけど、見たい？"""
TRANS_GEN_Takumi_04_0,"""My hands are slimy.""","""手がぬるぬるしてます。"""